"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"15546","European Archives of Psychiatry and Clinical Neuroscience",3.15,11,"0.55","0.10","2.94","0.487",11,"0.55","0.10","2.94","0.804",9,11,11,6,5,"Pharmacology (medical); Psychiatry and Mental Health"
"19700201452","European Cardiology",0.1,2,"2.12","0.11","41.35","0.620",2,"2.12","0.11","41.35","1.000",0,0,0,1,1,"Cardiology and Cardiovascular Medicine"
"15548","European Child and Adolescent Psychiatry",2.74,23,"0.58","0.21","1.57","0.283",23,"0.58","0.21","1.57","0.356",7,7,10,9,7,"Pediatrics, Perinatology, and Child Health; Psychiatry and Mental Health"
"19700175204","European Geriatric Medicine",0.68,13,"0.42","0.09","2.00","0.277",13,"0.42","0.09","2.00","0.274",0,1,3,8,5,"Geriatrics and Gerontology"
"23183","European Heart Journal",7.42,326,"0.41","0.27","0.63","0.000",326,"0.41","0.27","0.63","0.001",80,84,144,134,158,"Cardiology and Cardiovascular Medicine"
"21100205761","European Heart Journal Cardiovascular Imaging",2.52,54,"1.07","0.51","2.24","0.853",54,"1.07","0.51","2.24","0.391",14,12,18,19,11,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"144947","European Journal of Ageing",1.48,3,"1.57","0.12","19.95","0.726",3,"1.57","0.12","19.95","0.999",0,0,0,2,1,"Geriatrics and Gerontology"
"21887","European Journal of Anaesthesiology",1.65,54,"0.78","0.37","1.63","0.506",54,"0.78","0.37","1.63","0.425",14,14,14,12,18,"Anesthesiology and Pain Medicine"
"23402","European Journal of Applied Physiology",2.24,11,"0.36","0.04","3.11","0.354",11,"0.36","0.04","3.11","0.348",5,3,1,1,1,"Orthopedics and Sports Medicine; Physiology (medical); Public, Environmental, and Occupational Health"
"29761","European Journal of Cancer",6.1,24,"1.24","0.52","2.92","0.625",24,"1.24","0.52","2.92","0.871",4,2,22,0,0,"Oncology"
"29762","European Journal of Cancer Care",1.68,7,"1.18","0.20","7.00","0.856",7,"1.18","0.20","7.00","0.498",1,3,3,6,7,"Oncology"
"23185","European Journal of Cardio-thoracic Surgery",1.94,185,"0.36","0.18","0.72","0.004",185,"0.36","0.18","0.72","0.026",75,58,41,94,28,"Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine; Surgery"
"27682","European Journal of Cardiovascular Nursing",1.89,10,"3.19","0.75","13.64","0.118",10,"3.19","0.75","13.64","0.294",3,3,3,0,1,"Cardiology and Cardiovascular Medicine"
"12538","European Journal of Clinical Nutrition",2.8,5,"0.68","0.11","4.14","0.673",5,"0.68","0.11","4.14","0.811",2,0,3,0,1,"Medicine (miscellaneous)"
"24793","European Journal of Dermatology",0.79,2,"1.32","0.08","21.73","0.845",2,"1.32","0.08","21.73","0.998",0,2,0,0,0,"Dermatology"
"29694","European Journal of Emergency Medicine",1.38,7,"0.71","0.08","6.47","0.760",7,"0.71","0.08","6.47","0.782",0,1,5,1,0,"Emergency Medicine"
"26082","European Journal of Endocrinology",4.11,9,"1.02","0.23","4.61","0.978",9,"1.02","0.23","4.61","0.636",0,2,4,2,1,"Endocrinology, Diabetes, and Metabolism"
"13213","European Journal of Epidemiology",5.4,33,"0.45","0.19","1.03","0.059",33,"0.45","0.19","1.03","0.384",6,1,13,6,9,"Epidemiology"
"25948","European Journal of Haematology",2.14,12,"0.41","0.08","2.01","0.272",12,"0.41","0.08","2.01","0.151",0,0,4,8,0,"Hematology"
"13217","European Journal of Health Economics",1.97,6,"1.40","0.25","8.03","0.703",6,"1.40","0.25","8.03","0.999",1,8,0,0,0,"Health Policy"
"23188","European Journal of Heart Failure",5.38,121,"0.43","0.23","0.82","0.010",121,"0.43","0.23","0.82","0.052",18,13,38,53,63,"Cardiology and Cardiovascular Medicine"
"22101","European Journal of Human Genetics",3.24,11,"1.94","0.44","8.51","0.382",11,"1.94","0.44","8.51","0.174",5,2,1,3,0,"Genetics (clinical)"
"20779","European Journal of Immunology",3.61,85,"0.50","0.26","0.94","0.031",85,"0.50","0.26","0.94","0.090",26,21,19,16,9,"Immunology and Allergy"
"17300154952","European Journal of Integrative Medicine",0.9,4,"1.93","0.23","16.14","0.543",4,"1.93","0.23","16.14","1.000",5,5,4,0,0,"Complementary and Alternative Medicine"
"15549","European Journal of Neurology",3.26,65,"0.42","0.19","0.92","0.030",65,"0.42","0.19","0.92","0.067",17,11,8,26,7,"Clinical Neurology"
"16676","European Journal of Nuclear Medicine and Molecular Imaging",4.84,64,"0.34","0.13","0.88","0.027",64,"0.34","0.13","0.88","0.069",9,31,9,14,14,"Radiology Nuclear Medicine and Imaging"
"12681","European Journal of Obstetrics, Gynecology and Reproductive Biology",1.81,4,"0.48","0.05","4.80","0.529",4,"0.48","0.05","4.80","0.657",1,1,2,0,0,"Obstetrics and Gynecology; Reproductive Medicine"
"13864","European Journal of Ophthalmology",1.17,4,"1.87","0.12","30.42","0.660",4,"1.87","0.12","30.42","1.000",0,0,0,4,2,"Ophthalmology"
"14991","European Journal of Paediatric Neurology",2.1,16,"1.22","0.39","3.77","0.732",16,"1.22","0.39","3.77","0.742",0,0,4,3,13,"Clinical Neurology; Pediatrics, Perinatology, and Child Health"
"13222","European Journal of Pain",2.66,37,"0.81","0.36","1.79","0.597",37,"0.81","0.36","1.79","0.389",13,8,12,4,4,"Anesthesiology and Pain Medicine"
"21114","European Journal of Pediatric Surgery",1.1,6,"3.33","0.52","21.28","0.204",6,"3.33","0.52","21.28","0.290",1,1,1,2,1,"Pediatrics, Perinatology, and Child Health; Surgery"
"15006","European Journal of Pediatrics",1.83,7,"1.07","0.14","8.19","0.944",7,"1.07","0.14","8.19","1.000",2,1,2,0,2,"Pediatrics, Perinatology, and Child Health"
"11700154353","European Journal of Physical and Rehabilitation Medicine",1.88,6,"0.31","0.03","3.24","0.327",6,"0.31","0.03","3.24","0.617",1,4,0,2,3,"Rehabilitation"
"21100211738","European Journal of Preventive Cardiology",2.94,29,"0.82","0.32","2.15","0.693",29,"0.82","0.32","2.15","0.565",2,1,3,6,31,"Cardiology and Cardiovascular Medicine; Epidemiology"
"21100394256","European Journal of Psychotraumatology",2.49,2,"0.89","0.05","14.74","0.938",2,"0.89","0.05","14.74","0.999",0,0,0,0,2,"Psychiatry and Mental Health"
"20733","European Journal of Public Health",2.49,9,"0.26","0.04","1.47","0.127",9,"0.26","0.04","1.47","0.120",8,1,2,0,1,"Public, Environmental, and Occupational Health"
"16677","European Journal of Radiology",2.69,7,"0.71","0.06","7.76","0.777",7,"0.71","0.06","7.76","0.634",6,0,1,1,0,"Radiology Nuclear Medicine and Imaging"
"23198","European Journal of Vascular and Endovascular Surgery",2.5,69,"1.51","0.76","2.99","0.237",69,"1.51","0.76","2.99","0.052",19,16,33,38,37,"Cardiology and Cardiovascular Medicine; Surgery"
"15576","European Neuropsychopharmacology",4.34,9,"0.45","0.05","3.71","0.455",9,"0.45","0.05","3.71","0.594",4,2,4,2,0,"Clinical Neurology; Pharmacology (medical); Psychiatry and Mental Health"
"5800228211","European Physical Education Review",1.5,3,"3.17","0.25","40.61","0.376",3,"3.17","0.25","40.61","1.000",0,0,0,0,3,"Orthopedics and Sports Medicine"
"18458","European Respiratory Journal",5,263,"0.49","0.35","0.69","0.000",263,"0.49","0.35","0.69","0.014",59,75,69,97,81,"Pulmonary and Respiratory Medicine"
"18476","European Respiratory Review",4.16,41,"1.37","0.64","2.92","0.411",41,"1.37","0.64","2.92","0.057",8,11,15,8,14,"Pulmonary and Respiratory Medicine"
"13223","European Review for Medical and Pharmacological Sciences",1.66,6,"0.70","0.07","7.12","0.762",6,"0.70","0.07","7.12","0.586",0,0,4,1,1,"Pharmacology (medical)"
"21129","European Spine Journal",2.22,55,"0.69","0.26","1.85","0.463",55,"0.69","0.26","1.85","0.361",9,8,8,14,22,"Orthopedics and Sports Medicine; Surgery"
"19897","European Urology",6.29,400,"0.57","0.41","0.81","0.001",400,"0.57","0.41","0.81","0.051",138,143,132,121,103,"Urology"
"19898","European Urology, Supplements",0.31,5,"1.46","0.15","14.46","0.748",5,"1.46","0.15","14.46","0.610",2,1,0,2,1,"Urology"
"21872","Eurosurveillance",3.72,36,"1.10","0.54","2.24","0.793",36,"1.10","0.54","2.24","0.571",5,8,4,15,7,"Epidemiology; Public, Environmental, and Occupational Health"
"13244","Evidence-Based Medicine",0.41,6,"0.30","0.03","2.82","0.291",6,"0.30","0.03","2.82","0.314",3,0,1,2,1,"Medicine (all)"
"15582","Evidence-Based Mental Health",0.41,6,"0.75","0.12","4.70","0.758",6,"0.75","0.12","4.70","0.596",0,2,0,3,1,"Psychiatry and Mental Health"
"19842","Exercise and Sport Sciences Reviews",3.56,16,"0.19","0.04","0.95","0.044",16,"0.19","0.04","0.95","0.027",5,3,3,3,4,"Orthopedics and Sports Medicine"
"14144","Experimental and Clinical Psychopharmacology",2.35,7,"0.83","0.14","4.87","0.837",7,"0.83","0.14","4.87","0.911",0,3,1,1,2,"Pharmacology (medical); Psychiatry and Mental Health"
"13247","Experimental and Molecular Pathology",2.53,3,"0.85","0.07","9.84","0.897",3,"0.85","0.07","9.84","0.999",0,4,0,0,0,"Pathology and Forensic Medicine"
"24813","Experimental Dermatology",2.42,33,"0.24","0.07","0.80","0.021",33,"0.24","0.07","0.80","0.032",1,5,15,12,6,"Dermatology"
"21349","Expert Opinion on Drug Safety",3.25,7,"0.85","0.10","7.55","0.884",7,"0.85","0.10","7.55","0.379",4,3,0,1,0,"Pharmacology (medical)"
"23205","Expert Review of Cardiovascular Therapy",1.25,6,"2.05","0.28","15.12","0.481",6,"2.05","0.28","15.12","0.606",0,0,4,2,0,"Cardiology and Cardiovascular Medicine; Internal Medicine"
"4800153101","Expert Review of Clinical Immunology",2.58,3,"0.73","0.06","8.84","0.806",3,"0.73","0.06","8.84","0.858",1,3,0,0,0,"Immunology and Allergy"
"13867","Eye",1.34,20,"1.84","0.64","5.31","0.257",20,"1.84","0.64","5.31","0.488",6,5,2,6,4,"Ophthalmology"
"13869","Eye and Contact Lens",1.5,4,"5.39","0.47","61.84","0.176",4,"5.39","0.47","61.84","0.998",1,0,0,2,1,"Ophthalmology"
"13277","Families, Systems and Health",0.7,9,"1.01","0.24","4.18","0.993",9,"1.01","0.24","4.18","0.294",2,0,3,5,3,"Psychiatry and Mental Health"
"13298","Family Medicine",0.79,7,"0.19","0.02","1.74","0.143",7,"0.19","0.02","1.74","0.129",5,4,9,8,8,"Family Practice"
"27901","Family Practice",1.92,8,"1.36","0.22","8.49","0.739",8,"1.36","0.22","8.49","0.564",1,2,2,2,2,"Family Practice"
"12705","Fertility and Sterility",3.93,93,"0.33","0.18","0.59","0.000",93,"0.33","0.18","0.59","0.001",49,23,19,26,31,"Obstetrics and Gynecology; Reproductive Medicine"
"5700191205","Forensic Science International: Genetics",3.25,4,"0.29","0.02","3.46","0.330",4,"0.29","0.02","3.46","0.602",3,2,0,0,0,"Pathology and Forensic Medicine"
"145553","Forensic Science, Medicine, and Pathology",1.05,19,"0.10","0.01","0.76","0.027",19,"0.10","0.01","0.76","0.049",8,5,7,6,6,"Pathology and Forensic Medicine"
"4700152903","Forensic Toxicology",3.23,6,"0.46","0.05","4.44","0.505",6,"0.46","0.05","4.44","0.527",3,1,2,0,0,"Biochemistry, Medical; Pathology and Forensic Medicine"
"19700175164","Frontiers in Human Neuroscience",3.38,19,"0.26","0.06","1.18","0.081",19,"0.26","0.06","1.18","0.091",0,7,1,15,0,"Psychiatry and Mental Health"
"21100226442","Frontiers in Microbiology",4.16,5,"1.31","0.20","8.53","0.777",5,"1.31","0.20","8.53","0.903",5,1,0,0,0,"Microbiology (medical)"
"19700175116","Frontiers in Neuroanatomy",3.05,3,"0.46","0.04","5.15","0.529",3,"0.46","0.04","5.15","1.000",0,2,2,0,0,"Anatomy"
"15664","Functional Neurology",1.66,7,"0.44","0.04","4.36","0.484",7,"0.44","0.04","4.36","0.520",6,1,0,2,0,"Clinical Neurology"
"19700166901","Fungal Biology",2.46,8,"0.59","0.11","3.15","0.533",8,"0.59","0.11","3.15","0.991",0,2,1,4,4,"Infectious Diseases"
"5800207503","Future Microbiology",3.18,3,"0.70","0.06","7.95","0.772",3,"0.70","0.06","7.95","0.990",0,0,3,0,1,"Microbiology (medical)"
"4200151510","Future Oncology",1.7,12,"0.25","0.02","2.43","0.230",12,"0.25","0.02","2.43","0.512",2,3,4,3,4,"Oncology"
"21100232417","G3: Genes, Genomes, Genetics",2.19,12,"0.85","0.20","3.63","0.826",12,"0.85","0.20","3.63","0.844",4,2,0,1,6,"Genetics (clinical)"
"29794","Gastric Cancer",3.99,6,"1.64","0.17","16.29","0.671",6,"1.64","0.17","16.29","0.572",3,1,2,0,1,"Gastroenterology; Oncology"
"28330","Gastroenterology",7.04,200,"0.43","0.28","0.65","0.000",200,"0.43","0.28","0.65","0.058",45,46,57,46,34,"Gastroenterology"
"19700188429","Gastroenterology and Hepatology from Bed to Bench",1.59,3,"1.39","0.10","18.97","0.804",3,"1.39","0.10","18.97","0.999",0,0,3,0,0,"Gastroenterology; Hepatology"
"28350","Gastrointestinal Endoscopy",2.71,65,"0.25","0.08","0.84","0.025",65,"0.25","0.08","0.84","0.058",14,15,15,23,16,"Gastroenterology; Radiology Nuclear Medicine and Imaging"
"10100153328","Genes and Nutrition",2.67,5,"0.60","0.08","4.69","0.626",5,"0.60","0.08","4.69","0.781",2,0,2,0,2,"Endocrinology, Diabetes, and Metabolism"
"22162","Genetic Epidemiology",2.79,3,"0.51","0.04","5.91","0.589",3,"0.51","0.04","5.91","0.693",0,3,2,0,0,"Epidemiology; Genetics (clinical)"
"22191","Genetics in Medicine",6.03,34,"0.41","0.18","0.93","0.033",34,"0.41","0.18","0.93","0.078",14,5,5,13,4,"Genetics (clinical)"
"19700175140","Genome Medicine",5.48,32,"0.24","0.07","0.83","0.024",32,"0.24","0.07","0.83","0.027",8,4,4,11,7,"Genetics (clinical)"
"22214","Genome Research",11.88,16,"1.54","0.41","5.77","0.522",16,"1.54","0.41","5.77","0.167",2,5,2,3,10,"Genetics (clinical)"
"12400154713","Geospatial health",1.48,5,"0.52","0.05","5.28","0.582",5,"0.52","0.05","5.28","0.998",0,0,5,5,1,"Health Policy; Medicine (miscellaneous)"
"29071","Gerontology",3.59,6,"0.39","0.04","3.54","0.404",6,"0.39","0.04","3.54","0.525",3,1,2,3,1,"Geriatrics and Gerontology"
"29072","Gerontology and Geriatrics Education",0.86,2,"0.47","0.03","7.86","0.600",2,"0.47","0.03","7.86","1.000",0,0,0,0,3,"Geriatrics and Gerontology"
"21100420802","GigaScience",4.87,18,"0.44","0.09","2.08","0.299",18,"0.44","0.09","2.08","0.515",2,4,4,6,5,"Health Informatics"
"4000151501","Giornale Italiano di Cardiologia",0.27,7,"1.28","0.14","11.74","0.829",7,"1.28","0.14","11.74","0.700",3,5,0,0,4,"Cardiology and Cardiovascular Medicine"
"17500154705","Global Health Action",1.64,18,"0.81","0.30","2.22","0.682",18,"0.81","0.30","2.22","0.544",5,19,5,4,2,"Health Policy; Public, Environmental, and Occupational Health"
"17800156713","Global Health Promotion",0.62,4,"0.49","0.06","4.12","0.509",4,"0.49","0.06","4.12","0.995",5,0,0,0,3,"Public, Environmental, and Occupational Health"
"21100212900","Global Heart",1.87,15,"1.74","0.55","5.48","0.346",15,"1.74","0.55","5.48","0.153",3,6,3,7,1,"Cardiology and Cardiovascular Medicine; Epidemiology"
"5800179609","Global Public Health",1.6,7,"0.45","0.09","2.29","0.333",7,"0.45","0.09","2.29","0.170",0,2,6,2,5,"Public, Environmental, and Occupational Health"
"4400151514","Globalization and Health",2.78,5,"1.70","0.27","10.79","0.575",5,"1.70","0.27","10.79","0.504",1,3,0,2,1,"Health Policy; Public, Environmental, and Occupational Health"
"13904","Graefe's Archive for Clinical and Experimental Ophthalmology",1.98,11,"1.41","0.36","5.53","0.620",11,"1.41","0.36","5.53","0.638",4,0,2,5,2,"Ophthalmology"
"28366","Gut",9.29,149,"0.85","0.57","1.28","0.445",149,"0.85","0.57","1.28","0.833",36,55,43,25,18,"Gastroenterology"
"17700156219","Gut and Liver",2.09,13,"3.70","0.90","15.11","0.069",13,"3.70","0.90","15.11","0.126",0,2,5,6,2,"Gastroenterology; Hepatology"
"19700175861","Gut Microbes",3.74,5,"0.55","0.05","5.67","0.615",5,"0.55","0.05","5.67","0.460",1,1,0,1,2,"Gastroenterology; Infectious Diseases; Microbiology (medical)"
"20500195020","Gut Pathogens",3.12,6,"1.39","0.21","9.01","0.733",6,"1.39","0.21","9.01","0.546",1,1,1,3,3,"Gastroenterology; Infectious Diseases"
"27467","Gynecologic Oncology",4.31,27,"0.52","0.21","1.25","0.141",27,"0.52","0.21","1.25","0.267",5,3,10,7,6,"Obstetrics and Gynecology; Oncology"
"130148","Gynecological Surgery",1.15,3,"6.39","0.52","78.09","0.147",3,"6.39","0.52","78.09","1.000",1,1,0,0,1,"Obstetrics and Gynecology; Surgery"
"25954","Haematologica",4.1,36,"1.02","0.46","2.30","0.953",36,"1.02","0.46","2.30","0.723",11,5,12,4,8,"Hematology"
"25963","Haemophilia",2.33,23,"0.56","0.22","1.45","0.236",23,"0.56","0.22","1.45","0.352",6,2,7,4,6,"Genetics (clinical); Hematology"
"20814","Harm Reduction Journal",2.28,6,"0.61","0.09","4.15","0.610",6,"0.61","0.09","4.15","0.695",0,1,1,0,4,"Medicine (miscellaneous); Psychiatry and Mental Health; Public, Environmental, and Occupational Health"
"16072","Harvard Review of Psychiatry",3.05,3,"0.87","0.05","13.95","0.919",3,"0.87","0.05","13.95","1.000",1,0,0,2,0,"Psychiatry and Mental Health"
"13318","Hastings Center Report",0.72,10,"0.24","0.03","2.25","0.214",10,"0.24","0.03","2.25","0.130",0,0,3,6,6,"Health Policy"
"15500154704","Head and Neck Pathology",2.16,6,"1.21","0.20","7.39","0.838",6,"1.21","0.20","7.39","0.251",2,0,0,2,3,"Oncology; Otorhinolaryngology; Pathology and Forensic Medicine"
"16075","Headache",1.77,20,"1.66","0.61","4.47","0.318",20,"1.66","0.61","4.47","0.388",12,10,5,5,5,"Clinical Neurology"
"20833","Health Affairs",3.77,24,"0.83","0.33","2.12","0.704",24,"0.83","0.33","2.12","0.928",5,3,1,13,4,"Health Policy"
"20846","Health and Quality of Life Outcomes",2.33,14,"2.18","0.61","7.85","0.233",14,"2.18","0.61","7.85","0.163",4,4,1,2,3,"Public, Environmental, and Occupational Health"
"13356","Health Economics",1.98,7,"0.58","0.06","5.79","0.641",7,"0.58","0.06","5.79","0.633",1,2,4,1,0,"Health Policy"
"20877","Health Education and Behavior",1.72,9,"0.89","0.20","3.91","0.882",9,"0.89","0.20","3.91","0.783",1,1,5,2,2,"Public, Environmental, and Occupational Health"
"29615","Health Education Research",1.88,3,"1.21","0.10","14.22","0.881",3,"1.21","0.10","14.22","0.999",1,1,1,0,0,"Public, Environmental, and Occupational Health"
"20885","Health Expectations",1.55,3,"1.22","0.08","19.86","0.887",3,"1.22","0.08","19.86","1.000",4,2,3,0,0,"Public, Environmental, and Occupational Health"
"13374","Health Physics",0.95,13,"1.84","0.52","6.53","0.345",13,"1.84","0.52","6.53","0.217",0,5,6,8,4,"Epidemiology; Radiology Nuclear Medicine and Imaging"
"21100433204","Health promotion and chronic disease prevention in Canada : research, policy and practice",1.34,6,"0.69","0.12","4.03","0.677",6,"0.69","0.12","4.03","0.999",0,0,2,1,5,"Epidemiology; Health Policy; Public, Environmental, and Occupational Health"
"21312","Health Promotion International",1.53,6,"0.78","0.13","4.57","0.778",6,"0.78","0.13","4.57","0.283",4,0,1,1,4,"Public, Environmental, and Occupational Health"
"4000148207","Health Promotion Journal of Australia",0.97,3,"0.60","0.05","7.44","0.695",3,"0.60","0.05","7.44","0.989",0,1,1,1,0,"Public, Environmental, and Occupational Health"
"21317","Health Promotion Practice",1.29,3,"0.72","0.05","10.28","0.809",3,"0.72","0.05","10.28","0.449",0,4,0,0,0,"Public, Environmental, and Occupational Health"
"14277","Health Psychology",3.69,12,"0.68","0.20","2.32","0.535",12,"0.68","0.20","2.32","0.963",8,2,2,1,0,"Psychiatry and Mental Health"
"19400158464","Health Psychology Review",5.35,29,"0.56","0.24","1.27","0.165",29,"0.56","0.24","1.27","0.404",5,4,8,14,6,"Psychiatry and Mental Health"
"26890","Health Reports",2.3,9,"3.21","0.75","13.78","0.117",9,"3.21","0.75","13.78","0.269",3,1,2,1,3,"Public, Environmental, and Occupational Health"
"21337","Health Research Policy and Systems",2.33,17,"1.15","0.40","3.32","0.795",17,"1.15","0.40","3.32","0.667",2,7,3,4,9,"Health Policy"
"13408","Health Services Research",2.76,25,"0.84","0.36","1.95","0.686",25,"0.84","0.36","1.95","0.841",7,6,4,4,4,"Health Policy"
"21339","Health, Risk and Society",2.11,4,"0.19","0.02","2.20","0.186",4,"0.19","0.02","2.20","0.998",5,4,2,1,0,"Public, Environmental, and Occupational Health"
"35063","Healthcare Papers",0.28,18,"0.28","0.08","0.91","0.035",18,"0.28","0.08","0.91","0.015",7,6,2,11,4,"Health Policy; Public, Environmental, and Occupational Health"
"23217","Heart",3.2,227,"0.61","0.41","0.90","0.013",227,"0.61","0.41","0.90","0.011",44,78,61,52,64,"Cardiology and Cardiovascular Medicine"
"27707","Heart and Lung: Journal of Acute and Critical Care",1.52,5,"6.06","0.43","85.12","0.182",5,"6.06","0.43","85.12","0.286",3,2,1,1,0,"Cardiology and Cardiovascular Medicine; Critical Care and Intensive Care Medicine; Pulmonary and Respiratory Medicine"
"23221","Heart and Vessels",2.26,5,"2.15","0.23","20.43","0.506",5,"2.15","0.23","20.43","0.461",2,0,1,2,0,"Cardiology and Cardiovascular Medicine"
"23235","Heart Lung and Circulation",1.49,20,"1.50","0.52","4.32","0.448",20,"1.50","0.52","4.32","0.299",5,3,8,9,5,"Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine"
"23246","Heart Rhythm",3.44,185,"0.57","0.34","0.95","0.031",185,"0.57","0.34","0.95","0.159",55,24,37,46,84,"Cardiology and Cardiovascular Medicine; Physiology (medical)"
